Time,Passengers_thousands
01-Jan-1949,112
01-Feb-1949,118
01-Mar-1949,132
01-Apr-1949,129
01-May-1949,121
01-Jun-1949,135
01-Jul-1949,148
01-Aug-1949,148
01-Sep-1949,136
01-Oct-1949,119
01-Nov-1949,104
01-Dec-1949,118
01-Jan-1950,115
01-Feb-1950,126
01-Mar-1950,141
01-Apr-1950,135
01-May-1950,125
01-Jun-1950,149
01-Jul-1950,170
01-Aug-1950,170
01-Sep-1950,158
01-Oct-1950,133
01-Nov-1950,114
01-Dec-1950,140
01-Jan-1951,145
01-Feb-1951,150
01-Mar-1951,178
01-Apr-1951,163
01-May-1951,172
01-Jun-1951,178
01-Jul-1951,199
01-Aug-1951,199
01-Sep-1951,184
01-Oct-1951,162
01-Nov-1951,146
01-Dec-1951,166
01-Jan-1952,171
01-Feb-1952,180
01-Mar-1952,193
01-Apr-1952,181
01-May-1952,183
01-Jun-1952,218
01-Jul-1952,230
01-Aug-1952,242
01-Sep-1952,209
01-Oct-1952,191
01-Nov-1952,172
01-Dec-1952,194
01-Jan-1953,196
01-Feb-1953,196
01-Mar-1953,236
01-Apr-1953,235
01-May-1953,229
01-Jun-1953,243
01-Jul-1953,264
01-Aug-1953,272
01-Sep-1953,237
01-Oct-1953,211
01-Nov-1953,180
01-Dec-1953,201
01-Jan-1954,204
01-Feb-1954,188
01-Mar-1954,235
01-Apr-1954,227
01-May-1954,234
01-Jun-1954,264
01-Jul-1954,302
01-Aug-1954,293
01-Sep-1954,259
01-Oct-1954,229
01-Nov-1954,203
01-Dec-1954,229
01-Jan-1955,242
01-Feb-1955,233
01-Mar-1955,267
01-Apr-1955,269
01-May-1955,270
01-Jun-1955,315
01-Jul-1955,364
01-Aug-1955,347
01-Sep-1955,312
01-Oct-1955,274
01-Nov-1955,237
01-Dec-1955,278
01-Jan-1956,284
01-Feb-1956,277
01-Mar-1956,317
01-Apr-1956,313
01-May-1956,318
01-Jun-1956,374
01-Jul-1956,413
01-Aug-1956,405
01-Sep-1956,355
01-Oct-1956,306
01-Nov-1956,271
01-Dec-1956,306
01-Jan-1957,315
01-Feb-1957,301
01-Mar-1957,356
01-Apr-1957,348
01-May-1957,355
01-Jun-1957,422
01-Jul-1957,465
01-Aug-1957,467
01-Sep-1957,404
01-Oct-1957,347
01-Nov-1957,305
01-Dec-1957,336
01-Jan-1958,340
01-Feb-1958,318
01-Mar-1958,362
01-Apr-1958,348
01-May-1958,363
01-Jun-1958,435
01-Jul-1958,491
01-Aug-1958,505
01-Sep-1958,404
01-Oct-1958,359
01-Nov-1958,310
01-Dec-1958,337
01-Jan-1959,360
01-Feb-1959,342
01-Mar-1959,406
01-Apr-1959,396
01-May-1959,420
01-Jun-1959,472
01-Jul-1959,548
01-Aug-1959,559
01-Sep-1959,463
01-Oct-1959,407
01-Nov-1959,362
01-Dec-1959,405
01-Jan-1960,417
01-Feb-1960,391
01-Mar-1960,419
01-Apr-1960,461
01-May-1960,472
01-Jun-1960,535
01-Jul-1960,622
01-Aug-1960,606
01-Sep-1960,508
01-Oct-1960,461
01-Nov-1960,390
01-Dec-1960,432
